Model,ECS,ERF_2x,PL,PL_hs,LR,LR_hs,WV,RH,ALB,CLD,CLD_SW,CLD_LW,NET,ERR
ACCESS-CM2,4.66,3.43,-3.29,-1.91,-0.47,-0.05,1.72,-0.07,0.39,0.76,0.96,-0.2,-0.74,0.15
ACCESS-ESM1-5,3.88,2.83,-3.27,-1.91,-0.3,0.02,1.7,0.02,0.46,0.56,0.43,0.13,-0.73,0.12
AWI-CM-1-1-MR,3.16,3.63,-3.23,-1.88,-0.41,-0.03,1.77,0.03,0.46,0.22,-0.31,0.53,-1.15,0.04
BCC-CSM2-MR,3.02,3.11,-3.31,-1.95,-0.36,0.01,1.67,-0.07,0.43,0.51,0.16,0.35,-1.03,0.04
BCC-ESM1,3.25,3.01,-3.29,-1.94,-0.35,0.01,1.66,-0.05,0.47,0.52,0.02,0.5,-0.92,0.07
CAMS-CSM1-0,2.29,4.17,-3.31,-1.91,-0.62,-0.05,2.01,0.05,0.26,-0.36,-0.72,0.36,-1.82,0.19
CESM2,5.15,3.27,-3.34,-1.93,-0.53,-0.08,1.87,0,0.4,0.96,0.79,0.17,-0.63,0.01
CESM2-FV2,5.16,2.86,-3.3,-1.92,-0.51,-0.07,1.74,-0.07,0.43,1.06,0.95,0.11,-0.55,0.03
CESM2-WACCM,4.68,3.3,-3.34,-1.94,-0.54,-0.07,1.86,-0.01,0.4,1.17,1.05,0.12,-0.71,-0.25
CESM2-WACCM-FV2,4.8,2.92,-3.31,-1.93,-0.52,-0.07,1.75,-0.09,0.41,1.13,0.97,0.15,-0.61,-0.06
CIESM,5.63,3.86,-3.25,-1.89,-0.35,-0.01,1.6,-0.1,0.29,0.81,0.68,0.13,-0.69,0.21
CMCC-CM2-SR5,3.55,3.79,-3.32,-1.92,-0.47,-0.04,1.82,-0.01,0.34,0.52,0.48,0.04,-1.07,0.04
CMCC-ESM2,3.58,3.75,-3.31,-1.92,-0.47,-0.04,1.84,0.02,0.37,0.5,0.45,0.05,-1.05,0.03
CNRM-CM6-1,4.9,3.64,-3.29,-1.92,-0.42,-0.01,1.75,-0.02,0.53,0.55,-0.02,0.57,-0.74,0.13
CNRM-CM6-1-HR,4.33,3.96,-3.33,-1.93,-0.56,-0.07,1.92,0.02,0.4,0.54,-0.1,0.64,-0.92,0.12
CNRM-ESM2-1,4.79,2.97,-3.29,-1.91,-0.47,-0.04,1.83,0.01,0.51,0.56,0.03,0.53,-0.62,0.24
CanESM5,5.64,3.68,-3.33,-1.94,-0.61,-0.1,1.97,0.07,0.47,0.8,-0.02,0.82,-0.65,0.03
E3SM-1-0,5.31,3.33,-3.33,-1.92,-0.54,-0.1,1.86,0.01,0.34,0.94,0.75,0.18,-0.63,0.11
EC-Earth3,4.26,3.22,-3.24,-1.88,-0.16,0.06,1.68,0.11,0.6,0.31,0.05,0.26,-0.76,0.05
EC-Earth3-AerChem,3.87,3.63,-3.24,-1.87,-0.27,0.01,1.74,0.08,0.59,0.2,-0.09,0.28,-0.94,0.06
