Model,ECS,NET,PL,WV+LR,ALB,CLD,ERR,TCR
ACCESS-CM2,4.72,-0.74,-3.22,1.18,0.37,0.8,0.14,2.1
ACCESS-ESM1-5,3.87,-0.73,-3.21,1.33,0.42,0.62,0.11,1.95
AWI-CM-1-1-MR,3.16,-1.15,-3.16,1.27,0.42,0.29,0.04,2.06
BCC-CSM2-MR,3.04,-1.03,-3.25,1.23,0.38,0.57,0.04,1.72
BCC-ESM1,3.26,-0.92,-3.23,1.24,0.42,0.58,0.06,1.77
CAMS-CSM1-0,2.29,-1.82,-3.25,1.3,0.24,-0.3,0.2,1.73
CAS-ESM2-0,3.51,,,,,,,2.04
CESM2,5.16,-0.63,-3.28,1.26,0.38,1.01,-0.01,2.06
CESM2-FV2,5.14,-0.55,-3.23,1.17,0.4,1.1,0.01,2.05
CESM2-WACCM,4.75,-0.71,-3.27,1.25,0.37,1.22,-0.28,1.98
CESM2-WACCM-FV2,4.79,-0.61,-3.24,1.16,0.37,1.17,-0.07,2.01
CIESM,,-0.69,-3.19,1.19,0.27,0.84,0.2,2.39
CMCC-CM2-SR5,3.52,-1.07,-3.26,1.27,0.31,0.58,0.04,2.09
CMCC-ESM2,,-1.05,-3.25,1.29,0.33,0.56,0.02,
CNRM-CM6-1,4.83,-0.74,-3.22,1.24,0.49,0.61,0.14,2.14
CNRM-CM6-1-HR,4.28,-0.92,-3.27,1.27,0.37,0.59,0.13,2.48
CNRM-ESM2-1,4.76,-0.62,-3.23,1.27,0.47,0.63,0.25,1.86
CanESM5,5.62,-0.65,-3.26,1.29,0.42,0.88,0.03,2.74
E3SM-1-0,5.32,-0.63,-3.27,1.25,0.32,0.97,0.11,2.99
EC-Earth3,,-0.76,-3.18,1.45,0.53,0.39,0.05,2.3
EC-Earth3-AerChem,,-0.94,-3.18,1.39,0.54,0.27,0.05,
EC-Earth3-Veg,4.31,-0.78,-3.21,1.45,0.53,0.37,0.07,2.62
FGOALS-f3-L,3,-1.4,-3.14,1.21,0.36,0.04,0.13,1.94
FGOALS-g3,2.88,-1.25,-3.23,1.45,0.49,0.1,-0.06,1.54
FIO-ESM-2-0,,,,,,,,2.22
GFDL-CM4,,-0.82,-3.18,1.23,0.5,0.64,-0.01,
GFDL-ESM4,,-1.42,-3.25,1.18,0.34,0.5,-0.19,
GISS-E2-1-G,2.72,-1.46,-3.2,1.06,0.24,0.07,0.38,1.8
GISS-E2-1-H,3.11,-1.13,-3.16,1.27,0.42,0.06,0.28,1.93
GISS-E2-2-G,,-1.51,-3.19,1.18,0.32,0.01,0.18,1.71
HadGEM3-GC31-LL,5.55,-0.63,-3.21,1.19,0.38,0.84,0.17,2.55
HadGEM3-GC31-MM,5.42,-0.66,-3.23,1.18,0.32,0.91,0.16,2.58
IITM-ESM,,-1.91,-3.22,1.16,0.26,-0.02,-0.08,1.71
INM-CM4-8,1.83,-1.48,-3.23,1.45,0.36,-0.09,0.02,1.33
INM-CM5-0,1.92,-1.52,-3.23,1.4,0.4,-0.06,-0.03,
IPSL-CM5A2-INCA,,-0.81,-3.25,1.23,0.33,1.05,-0.16,
IPSL-CM6A-LR,4.56,-0.76,-3.22,1.35,0.44,0.45,0.22,2.32
KACE-1-0-G,4.48,-0.72,-3.24,1.17,0.33,0.84,0.18,1.41
MCM-UA-1-0,3.65,,,,,,,1.94
MIROC-ES2L,2.68,-1.54,-3.26,1.19,0.4,0.04,0.08,1.55
MIROC6,2.61,-1.4,-3.29,1.3,0.47,0.22,-0.1,1.55
MPI-ESM-1-2-HAM,2.96,-1.41,-3.1,1.18,0.36,-0.16,0.32,1.8
MPI-ESM1-2-HR,2.98,-1.22,-3.14,1.21,0.38,0.27,0.05,1.66
MPI-ESM1-2-LR,3,-1.39,-3.11,1.12,0.37,0.18,0.05,1.84
MRI-ESM2-0,3.15,-1.1,-3.2,1.16,0.54,0.46,-0.06,1.64
NESM3,4.72,-0.78,-3.09,1.19,0.5,0.45,0.17,2.72
NorCPM1,3.05,-1.1,-3.17,1.31,0.44,0.3,0.01,1.56
NorESM2-LM,2.54,-1.34,-3.3,1.28,0.35,0.44,-0.11,1.48
NorESM2-MM,2.5,-1.5,-3.32,1.29,0.3,0.51,-0.28,1.33
SAM0-UNICON,3.72,-1.04,-3.27,1.13,0.38,0.75,-0.03,2.27
TaiESM1,4.31,-0.88,-3.25,1.26,0.4,0.7,0,2.34
UKESM1-0-LL,5.34,-0.67,-3.19,1.19,0.48,0.87,-0.01,2.79
