Model,Family,Institute,Country,Type,Parents,Predecessor,"CMIP3 names","CMIP5 names","CMIP6 names","References (note: see the supplement for a list of references)"
ECMWF,ECMWF,ECMWF,Europe,AGCM,,,,,,
"ECMWF CY17",ECMWF,ECMWF,Europe,AGCM,,ECMWF,,,"ECMWF-IFS-HR,ECMWF-IFS-LR,ECMWF-IFS-MR",
"IFS/ARPEGE CY18",ECMWF,ECMWF/CNRM,Europe,AGCM,,"ECMWF CY17",,,,
"IFS/ARPEGE CY31R1",ECMWF,ECMWF/CNRM,Europe,AGCM,,"IFS/ARPEGE CY18",,,,
"IFS/ARPEGE CY32T0",ECMWF,ECMWF/CNRM,Europe,AGCM,,"IFS/ARPEGE CY31R1",,,,
"IFS/ARPEGE CY36R4",ECMWF,ECMWF/CNRM,Europe,AGCM,,"IFS/ARPEGE CY32T0",,,,
"IFS/ARPEGE CY37",ECMWF,ECMWF/CNRM,Europe,AGCM,,"IFS/ARPEGE CY36R4",,,,
"IFS/ARPEGE CY43R1",ECMWF,ECMWF/CNRM,Europe,AGCM,,"IFS/ARPEGE CY37",,,,
EC-Earth2.2,ECMWF,"EC-Earth Consortium/ICHEC",Europe,ESM,"IFS/ARPAGE CY31R1",,,EC-EARTH-2-2,,"Hazeleger et al. (2010), Hazeleger et al. (2011)"
EC-Earth2.3,ECMWF,"EC-Earth Consortium/ICHEC",Europe,ESM,,EC-Earth2.2,,EC-EARTH,,
EC-Earth3,ECMWF,"EC-Earth Consortium/ICHEC",Europe,ESM,,EC-Earth2.3,,,"EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-LR,EC-Earth3-Veg,EC-Earth3-Veg-LR,EC-Earth3P,EC-Earth3P-HR,EC-Earth3P-VHR","WCRP (2022)"
"ARPEGE-Climat 3",ECMWF,CNRM/CERFACS,France,AGCM,"IFS/ARPAGE CY18",,,,,"CNRM (2022a): https://www.umr-cnrm.fr/spip.php?article124&lang=en"
"ARPEGE-Climat 5.2",ECMWF,CNRM/CERFACS,France,AGCM,"IFS/ARPAGE CY32T0","ARPEGE-Climat 3",,,,"CNRM (2008): https://www.umr-cnrm.fr/gmapdoc/IMG/pdf_arp51ca.pdf"
"ARPEGE-Climat 6.3",ECMWF,CNRM/CERFACS,France,AGCM,"IFS/ARPAGE CY37","ARPEGE-Climat 5.2",,,,"Roehrig et al. (2020)"
CNRM-CM3,ECMWF,CNRM/CERFACS,France,AOGCM,"ARPEGE-Climat 3",,cnrm_cm3,,,"Salas-Mélia et al. (2005)"
CNRM-CM5.1,ECMWF,CNRM/CERFACS,France,AOGCM,"ARPEGE-Climat 5.2",CNRM-CM3,,CNRM-CM5,,
CNRM-CM5.2,ECMWF,CNRM/CERFACS,France,AOGCM,,CNRM-CM5.1,,CNRM-CM5-2,,
CNRM-CM6.1,ECMWF,CNRM/CERFACS,France,AOGCM,"ARPEGE-Climat 6.3",CNRM-CM5.2,,,"CNRM-CM6-1,CNRM-CM6-1-HR",
BCCR-BCM2.0,ECMWF,BCCR,Norway,AOGCM,"ARPEGE-Climat 3",,bccr_bcm2_0,,,"PCMDI (2005): https://pcmdi.llnl.gov/ipcc/model_documentation/BCCR_BCM2.0.pdf"
CNRM-ESM2.1,ECMWF,CNRM/CERFACS,France,ESM,CNRM-CM6.1,,,,CNRM-ESM2-1,"CNRM (2022b): https://www.umr-cnrm.fr/cmip6/spip.php?article10"
ECHAM0,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,"ECMWF CY17",,,,,"Roeckner et al. (1992), Stevens et al. (2016)"
ECHAM4,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,ECHAM0,,ingv_echam4,,,
ECHAM5,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,,ECHAM4,mpi_echam5,,,
ECHAM6,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,,ECHAM5,,,,
ECHAM6.1,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,,ECHAM6,,,ECHAM6-1-05-LR,
ECHAM6.3,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,,ECHAM6.1,,,,
ECHO-G,ECMWF,MIUB,Germany,AOGCM,ECHAM4,,miub_echo_g,,,"Legutke and Voss (1999)"
CAMS-CSM1.0,ECMWF,CAMS,China,AOGCM,ECHAM5,,,,CAMS-CSM1-0,"Chen et al. (2019)"
MPI-ESM,ECMWF,MPI-M/HAMMOZ,Germany,AOGCM,ECHAM6,,,"MPI-ESM-LR,MPI-ESM-MR,MPI-ESM-P",,"MPI (2022): https://mpimet.mpg.de/en/science/models/mpi-esm/"
MPI-ESM1.2,ECMWF,MPI-M/HAMMOZ,Germany,AOGCM,ECHAM6.3,MPI-ESM,,,"MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MPI-ESM1-2-XR","Mauritsen et al. (2019)"
AWI-CM1.1,ECMWF,AWI,Germany,AOGCM,ECHAM6.3,,,,"AWI-CM-1-1-HR,AWI-CM-1-1-LR,AWI-CM-1-1-MR","Semmler et al. (2020)"
CMCC-CM,ECMWF,CMCC,Italy,AOGCM,ECHAM5,,,CMCC-CM,,"CMCC (2022): https://www.cmcc.it/models/cmcc-cm"
ICON-A,ECMWF,MPI-M/HAMMOZ,Germany,AGCM,ECHAM6,,,,,"Giorgetta et al. (2018)"
AWI-ESM1.1,ECMWF,AWI,Germany,ESM,AWI-CM1.1,,,,AWI-ESM-1-1-LR,"FESOM (2022): https://fesom.de/models/awi-esm/"
CMCC-CMS,ECMWF,CMCC,Italy,AOGCM,ECHAM5,,,CMCC-CMS,,"es-doc (2015): https://view.es-doc.org/?renderMethod=name&type=cim.1.software.ModelComponent&name=CMCC-CMS&project=CMIP5"
ICON-ESM,ECMWF,MPI-M/HAMMOZ,Germany,ESM,ICON-A,,,,ICON-ESM-LR,"Jungclaus et al. (2022)"
NESM3,ECMWF,NUIST,China,AOGCM,ECHAM6.3,,,,NESM3,"Cao et al. (2021)"
CCM0B,CCM,NCAR/NSF/DOE,USA,AGCM,ECMWF,,,,,"Edwards (2010)"
CCM3,CCM,NCAR/NSF/DOE,USA,AGCM,,,,,,
CAM,CCM,NCAR/NSF/DOE,USA,AGCM,,CCM3,,,,"Collins et al. (2006)"
CAM2,CCM,NCAR/NSF/DOE,USA,AGCM,,CAM,,,,
CAM3,CCM,NCAR/NSF/DOE,USA,AGCM,,CAM2,,,,
CAM4,CCM,NCAR/NSF/DOE,USA,AGCM,,CAM3,,,,
CAM5,CCM,NCAR/NSF/DOE,USA,AGCM,,CAM4,,,,
CAM6,CCM,NCAR/NSF/DOE,USA,AGCM,,CAM5,,,,
"IAP AGCM4.1",CCM,LASG/IAP/CESS,China,AGCM,CAM5,,,,,"Zhang et al. (2020)"
"IAP AGCM5.0",CCM,LASG/IAP/CESS,China,AGCM,,"IAP AGCM4.1",,,,"Zhang et al. (2020)"
CAS-ESM1,CCM,LASG/IAP/CESS,China,ESM,"IAP AGCM4.1",,,,,"Zhang et al. (2020)"
CAS-ESM2,CCM,LASG/IAP/CESS,China,ESM,,CAS-ESM1,,,CAS-ESM2-0,"Zhang et al. (2020)"
FGOALS1,CCM,LASG/IAP/CESS,China,AOGCM,CAM5,,iap_fgoals1_0_g,FGOALS-gl,,"Zhou et al. (2008), Yu et al. (2011), Hai-Yang et al. (2014)"
FGOALS2,CCM,LASG/IAP/CESS,China,AOGCM,,FGOALS1,,"FGOALS-g2,FGOALS-s2",,"Zhou et al. (2018)"
FGOALS3,CCM,LASG/IAP/CESS,China,AOGCM,,FGOALS2,,,"FGOALS-g3,FGOALS-f3-H,FGOALS-f3-L","He et al. (2019), Li et al. (2020), Guo et al. (2020)"
CSM1,CCM,NCAR/NSF/DOE,USA,AOGCM,CCM3,,,,,
CCSM,CCM,NCAR/NSF/DOE,USA,AOGCM,CAM,CSM1,,,,
CCSM2,CCM,NCAR/NSF/DOE,USA,AOGCM,CAM2,CCSM,,,,
CCSM3,CCM,NCAR/NSF/DOE,USA,AOGCM,CAM3,CCSM2,ncar_ccsm3_0,,,
CCSM4,CCM,NCAR/NSF/DOE,USA,AOGCM,CAM4,CCSM3,,CCSM4,,
PCM1,CCM,NCAR/NSF/DOE,USA,AOGCM,CCM3,,ncar_pcm1,,,"Washington et al. (2000)"
FIO-ESM1,CCM,FIO/QLNM,China,ESM,CCSM3,,,FIO-ESM,,
FIO-ESM2,CCM,FIO/QLNM,China,ESM,CAM5,FIO-ESM1,,,FIO-ESM-2-0,
BCC-CSM1.1,CCM,BCC,China,AOGCM,CCSM2,,,"BCC-CSM1-1,BCC-CSM1-1-m",,"BCC (2022): http://forecast.bcccsm.ncc-cma.net/web/channel-43.htm"
BCC-CSM2,CCM,BCC,China,AOGCM,CCSM3,BCC-CSM1.1,,,"BCC-CSM2-HR,BCC-CSM2-MR","Wu et al. (2019)"
CESM1,CCM,NCAR/NSF/DOE,USA,ESM,CCSM4,,,"CESM1-BGC,CESM1-FASTCHEM,CESM1-WACCM",CESM1-WACCM-SC,"NCAR (2022): https://www.cesm.ucar.edu/models/cesm1.0/config_conventions_cesm.html"
CESM1-CAM5,CCM,NCAR/NSF/DOE,USA,ESM,CAM5,CESM1,,"CESM1-CAM5,CESM1-CAM5-1-FV2","CESM1-CAM5-SE-HR,CESM1-CAM5-SE-LR,CESM1-1-CAM5-CMIP5","Meehl et al. (2013)"
CESM2,CCM,NCAR/NSF/DOE,USA,ESM,CAM6,CESM1-CAM5,,,"CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2","WCRP (2022): https://wcrp-cmip.github.io/CMIP6_CVs/docs/CMIP6_source_id.html"
BCC-ESM1,CCM,BCC,China,ESM,BCC-CSM2,,,,BCC-ESM1,"Wu et al. (2020)"
TaiESM1,CCM,"AS RCEC",Taiwan,ESM,CESM1-CAM5,,,,"TaiESM1,TaiESM1-TIMCOM,TaiESM1-TIMCOM2","Wang et al. (2021)"
CMCC-CM2,CCM,CMCC,Italy,AOGCM,CESM1-CAM5,,,,"CMCC-CM2-HR4,CMCC-CM2-SR5,CMCC-CM2-VHR4","Cherchi et al. (2019)"
CMCC-CESM,CCM,CMCC,Italy,ESM,CESM1-CAM5,,,CMCC-CESM,,
CMCC-CESM,CCM,CMCC,Italy,ESM,CESM1-CAM5,,,CMCC-CESM,,"CMCC (2022a): https://www.cmcc.it/models/cmcc-cesm-nemo-climate-coupled-model"
CMCC-ESM2,CCM,CMCC,Italy,ESM,CMCC-CESM,,,,CMCC-ESM2,"Cherchi et al. (2019), CMCC (2022b): https://www.cmcc.it/models/cmcc-esm-earth-system-model"
E3SM1.0,CCM,DOE,USA,ESM,CESM1-CAM5,,,,E3SM-1-0,"Golaz et al. (2019)"
E3SM1.1,CCM,DOE,USA,ESM,,E3SM1.0,,,"E3SM-1-1,E3SM-1-1-ECA",
SAM0-UNICON,CCM,SNU,"South Korea",ESM,CESM1-CAM5,,,,SAM0-UNICON,"Park et al. (2019)"
CIESM,CCM,THU,China,ESM,CESM1-CAM5,,,,CIESM,"Lin et al. (2020)"
NorESM1,CCM,NCC,Norway,ESM,CCSM4,,,"NorESM1-M,NorESM1-ME",NorESM1-F,"Bentsen et al. (2013)"
NorESM2,CCM,NCC,Norway,ESM,CESM2,NorESM1,,,"NorESM2-LM,NorESM2-MM","Seland et al. (2020)"
NorCPM1,CCM,NCC,Norway,ESM,NorESM1,,,,NorCPM1,"Bethke et al. (2021)"
BNU-ESM,CCM,BNU,China,ESM,CCSM4,,,BNU-ESM,,"Ji et al. (2014)"
CanAM3,CanAM,CCCma,Canada,AGCM,,,,,,
CanAM4,CanAM,CCCma,Canada,AGCM,,CanAM3,,CanAM4,,
CanAM5,CanAM,CCCma,Canada,AGCM,,CanAM4,,,,
CGCM3.1,CanAM,CCCma,Canada,AOGCM,CanAM3,,"cccma_cgcm3_1,cccma_cgcm3_1_t63",,,"Merryfield et al. (2013)"
