Model,ECS,ERF_2x,PL,PL_hs,LR,LR_hs,WV,RH,ALB,CLD,CLD_SW,CLD_LW,NET,ERR
BCC-CSM2-MR,3.02,3.1,-3.31,-1.95,-0.36,0.01,1.67,-0.07,0.43,0.51,0.16,0.35,-1.03,0.04
BCC-ESM1,3.26,3.01,-3.29,-1.94,-0.35,0.01,1.66,-0.05,0.47,0.52,0.02,0.49,-0.92,0.07
CAMS-CSM1-0,2.29,4.17,-3.31,-1.91,-0.62,-0.05,2.01,0.05,0.26,-0.36,-0.72,0.36,-1.82,0.19
CESM2,5.15,3.26,-3.34,-1.93,-0.53,-0.07,1.87,0,0.41,0.96,0.8,0.17,-0.63,0.01
CESM2-WACCM,4.68,3.3,-3.34,-1.94,-0.54,-0.08,1.86,-0.01,0.4,1.17,1.05,0.12,-0.71,-0.25
CNRM-CM6-1,4.9,3.64,-3.29,-1.92,-0.42,-0.01,1.75,-0.02,0.53,0.55,-0.02,0.57,-0.74,0.13
CNRM-CM6-1-HR,4.33,3.96,-3.33,-1.93,-0.57,-0.07,1.92,0.02,0.4,0.54,-0.1,0.64,-0.92,0.12
CNRM-ESM2-1,4.79,2.97,-3.29,-1.91,-0.47,-0.04,1.83,0.01,0.51,0.56,0.03,0.53,-0.62,0.24
CanESM5,5.64,3.68,-3.33,-1.94,-0.61,-0.1,1.97,0.07,0.47,0.8,-0.02,0.82,-0.65,0.03
E3SM-1-0,5.31,3.33,-3.33,-1.92,-0.54,-0.1,1.86,0.01,0.34,0.94,0.75,0.18,-0.63,0.11
EC-Earth3,4.1,3.31,-3.24,-1.87,-0.22,0.03,1.72,0.1,0.58,0.29,0.03,0.26,-0.81,0.08
EC-Earth3-Veg,4.33,3.37,-3.26,-1.89,-0.2,0.04,1.73,0.11,0.6,0.29,0.02,0.27,-0.78,0.07
FGOALS-f3-L,2.98,4.17,-3.2,-1.88,-0.37,0.01,1.65,-0.05,0.4,-0.01,-0.21,0.2,-1.4,0.14
GFDL-CM4,3.89,3.19,-3.24,-1.89,-0.53,-0.07,1.84,0.03,0.55,0.56,0.03,0.53,-0.82,-0
GISS-E2-1-G,2.71,3.94,-3.25,-1.87,-1.03,-0.21,2.19,-0.01,0.27,0,-0.64,0.64,-1.45,0.37
GISS-E2-1-H,3.12,3.53,-3.22,-1.89,-0.55,-0.03,1.91,0.06,0.48,-0.03,-0.53,0.5,-1.13,0.27
HadGEM3-GC31-LL,5.55,3.49,-3.27,-1.91,-0.41,-0.03,1.68,-0.07,0.41,0.79,0.98,-0.19,-0.63,0.18
INM-CM4-8,1.83,2.7,-3.29,-1.95,-0.09,0.1,1.61,0.08,0.4,-0.13,-0.19,0.06,-1.48,0.02
IPSL-CM6A-LR,4.56,3.41,-3.28,-1.91,-0.49,-0.02,1.93,0.09,0.49,0.38,0.13,0.25,-0.75,0.22
MIROC-ES2L,2.66,4.11,-3.31,-1.91,-0.7,-0.11,1.98,-0.01,0.44,-0.02,-0.35,0.32,-1.54,0.07
MIROC6,2.6,3.65,-3.34,-1.89,-0.64,-0.1,2.03,0.05,0.51,0.12,-0.13,0.25,-1.4,-0.1
MPI-ESM1-2-HR,2.98,3.65,-3.2,-1.86,-0.53,-0.06,1.83,0.03,0.42,0.2,-0.41,0.61,-1.22,0.06
MRI-ESM2-0,3.13,3.43,-3.27,-1.92,-0.48,-0.03,1.71,-0.08,0.6,0.38,0.12,0.27,-1.1,-0.04
NESM3,4.77,3.62,-3.16,-1.86,-0.66,-0.07,1.9,0.03,0.53,0.4,-0.17,0.57,-0.76,0.23
NorESM2-LM,2.56,3.44,-3.35,-1.9,-0.67,-0.13,2.03,0.03,0.4,0.36,0.21,0.15,-1.34,-0.1
SAM0-UNICON,3.72,3.89,-3.33,-1.93,-0.58,-0.08,1.77,-0.13,0.42,0.69,0.89,-0.2,-1.05,-0.01
UKESM1-0-LL,5.36,3.61,-3.26,-1.9,-0.35,-0,1.61,-0.1,0.53,0.81,0.93,-0.12,-0.67,-0
