Model,ECS,ERF2x,PL,PL_hs,LR,LR_hs,WV,RH,ALB,CLD,CLD_SW,CLD_LW,NET,ERR
ACCESS1.0,3.85,2.94,-3.23,-1.9,-0.42,-0.01,1.77,0.02,0.47,0.4,0.07,0.33,-0.76,0.25
ACCESS1.3,3.55,2.88,-3.27,-1.9,-0.41,-0.01,1.74,-0.02,0.46,0.59,0.48,0.11,-0.81,0.09
BNU-ESM,4.04,3.72,-3.2,-1.93,-0.12,0.12,1.54,0.03,0.71,0.1,-0.23,0.33,-0.92,0.04
CCSM4,2.94,3.48,-3.26,-1.94,-0.22,0.08,1.58,-0.04,0.55,0.18,-0.09,0.26,-1.18,-0.02
CNRM-CM5,3.25,3.69,-3.26,-1.92,-0.32,0,1.62,-0.04,0.5,0.1,-0.21,0.31,-1.13,0.22
CSIRO-Mk3-6-0,4.09,2.6,-3.32,-1.91,-0.49,-0.04,1.83,-0.03,0.44,0.59,0.55,0.04,-0.64,0.32
CanESM2,3.7,3.81,-3.34,-1.95,-0.44,-0.03,1.87,0.07,0.45,0.45,-0.29,0.74,-1.03,-0.02
FGOALS-g2,3.37,2.84,-3.25,-1.94,-0.16,0.1,1.65,0.08,0.66,0.3,-0.06,0.37,-0.84,-0.04
FGOALS-s2,4.18,3.82,-3.25,-1.92,-0.39,-0.01,1.77,0.06,0.58,-0.06,-0.41,0.36,-0.91,0.44
GFDL-CM3,3.95,3.01,-3.24,-1.87,-0.6,-0.1,1.75,-0.11,0.47,0.83,0.6,0.23,-0.76,0.02
GFDL-ESM2G,2.43,2.99,-3.26,-1.87,-0.77,-0.19,2.02,0.06,0.34,0.18,-0.4,0.58,-1.23,0.26
GFDL-ESM2M,2.44,3.35,-3.25,-1.85,-0.84,-0.2,2.05,0.02,0.31,0.07,-0.49,0.56,-1.37,0.28
GISS-E2-H,2.31,3.82,-3.22,-1.9,-0.46,-0.01,1.81,0.05,0.36,-0.19,-0.72,0.54,-1.66,0.03
GISS-E2-R,2.12,3.73,-3.24,-1.92,-0.54,-0.05,1.92,0.1,0.28,-0.19,-0.8,0.61,-1.76,0.01
HadGEM2-ES,4.6,2.91,-3.23,-1.89,-0.34,0.01,1.73,0.03,0.43,0.64,0.29,0.36,-0.63,0.14
IPSL-CM5A-LR,4.13,3.1,-3.32,-1.89,-0.85,-0.16,2.15,0.03,0.29,1.12,0.61,0.51,-0.75,-0.15
IPSL-CM5A-MR,4.11,3.31,-3.34,-1.89,-0.96,-0.2,2.25,0.04,0.21,1.19,0.62,0.57,-0.8,-0.14
IPSL-CM5B-LR,2.61,2.65,-3.24,-1.92,-0.38,0.04,1.78,0.05,0.31,0.57,0.35,0.22,-1.02,-0.06
MIROC-ESM,4.65,4.3,-3.38,-1.93,-0.72,-0.13,2.04,0,0.55,0.61,0.2,0.41,-0.92,-0.02
MIROC5,2.71,4.16,-3.3,-1.9,-0.59,-0.07,1.96,0.04,0.53,-0.12,-0.38,0.26,-1.53,-0.02
MPI-ESM-LR,3.63,4.1,-3.21,-1.85,-0.72,-0.11,1.91,-0.06,0.47,0.36,-0.16,0.51,-1.13,0.07
MPI-ESM-MR,3.45,4.11,-3.22,-1.85,-0.78,-0.14,1.94,-0.08,0.42,0.4,-0.07,0.47,-1.19,0.07
MPI-ESM-P,3.46,4.27,-3.24,-1.86,-0.79,-0.14,1.97,-0.06,0.43,0.31,-0.21,0.53,-1.23,0.08
MRI-CGCM3,2.61,3.2,-3.3,-1.97,-0.27,0.06,1.6,-0.07,0.57,0.21,0.25,-0.03,-1.23,-0.03
NorESM1-M,2.87,3.16,-3.23,-1.92,-0.17,0.09,1.56,-0.01,0.51,0.22,-0.02,0.24,-1.1,0.01
NorESM1-ME,2.98,3.26,-3.22,-1.93,-0.13,0.11,1.5,-0.03,0.52,0.25,0.05,0.2,-1.1,-0.01
bcc-csm1-1,2.82,3.24,-3.27,-1.95,-0.17,0.07,1.5,-0.06,0.51,0.23,-0.15,0.38,-1.15,0.05
bcc-csm1-1-m,2.89,3.43,-3.34,-1.96,-0.26,0.05,1.63,-0.06,0.45,0.34,-0.02,0.36,-1.19,-0
inmcm4,2.08,2.97,-3.24,-1.9,-0.39,-0.02,1.68,-0.02,0.48,0.18,-0.02,0.2,-1.43,-0.14
